transaction_id,invoice_no,customer_id,country,quantity,unit_price,total_value,invoice_date,anomaly_score,is_anomaly
267576,515296,13734,United Kingdom,85,34.95,2970.75,2010-07-09 15:20:00,0.086754,1
281504,516781,18102,United Kingdom,300,6.35,1905.0,2010-07-23 08:24:00,0.083857,1
420629,529613,17949,United Kingdom,360,10.95,3942.0,2010-10-29 10:46:00,0.082573,1
281502,516781,18102,United Kingdom,312,5.06,1578.72,2010-07-23 08:24:00,0.082115,1
266851,515187,14156,EIRE,104,16.95,1762.8,2010-07-09 09:46:00,0.080999,1
103844,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
103845,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
103846,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
103847,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
103848,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
103849,499299,18102,United Kingdom,480,0.85,408.0,2010-02-25 20:19:00,0.078328,1
273853,515971,14156,EIRE,264,3.39,894.96,2010-07-16 07:53:00,0.077372,1
390763,526934,18102,United Kingdom,200,19.42,3884.0,2010-10-14 09:46:00,0.077243,1
267335,515281,13734,United Kingdom,85,34.95,2970.75,2010-07-09 13:53:00,0.076833,1
454498,532582,15061,United Kingdom,256,10.95,2803.2,2010-11-12 14:24:00,0.076243,1
65299,495228,14646,Netherlands,480,2.55,1224.0,2010-01-22 08:28:00,0.07608,1
172969,505747,16684,United Kingdom,600,0.65,390.0,2010-04-26 07:20:00,0.074559,1
103818,499297,18102,United Kingdom,336,1.4,470.4,2010-02-25 20:16:00,0.074501,1
358822,524181,17450,United Kingdom,648,6.89,4464.72,2010-09-27 16:59:00,0.073753,1
358820,524181,17450,United Kingdom,408,8.87,3618.96,2010-09-27 16:59:00,0.073464,1
474183,534048,13089,United Kingdom,96,10.95,1051.2,2010-11-19 17:18:00,0.072346,1
266833,515187,14156,EIRE,324,4.25,1377.0,2010-07-09 09:46:00,0.072217,1
266834,515187,14156,EIRE,324,4.25,1377.0,2010-07-09 09:46:00,0.072217,1
379877,525968,15838,United Kingdom,4752,0.19,902.88,2010-10-08 10:10:00,0.072173,1
266841,515187,14156,EIRE,608,2.55,1550.4,2010-07-09 09:46:00,0.072132,1
