customer_id,recency_days,frequency,monetary,cluster,segment_name,updated_at
12346,164,11,372.86,0,Champions,2026-07-30 19:54:39
12347,2,2,1323.32,2,Occasional / Low-value,2026-07-30 19:54:39
12348,73,1,222.16,2,Occasional / Low-value,2026-07-30 19:54:39
12349,42,3,2671.14,0,Champions,2026-07-30 19:54:39
12351,10,1,300.93,2,Occasional / Low-value,2026-07-30 19:54:39
12352,10,2,343.8,2,Occasional / Low-value,2026-07-30 19:54:39
12353,43,1,317.76,2,Occasional / Low-value,2026-07-30 19:54:39
12355,202,1,488.21,1,Lost / Lapsed,2026-07-30 19:54:39
12356,15,3,3562.25,0,Champions,2026-07-30 19:54:39
12357,23,2,12079.99,0,Champions,2026-07-30 19:54:39
12358,10,3,2719.01,0,Champions,2026-07-30 19:54:39
12359,60,6,2563.36,0,Champions,2026-07-30 19:54:39
12360,14,5,1590.83,0,Champions,2026-07-30 19:54:39
12361,97,3,321.35,2,Occasional / Low-value,2026-07-30 19:54:39
12362,373,1,130.0,1,Lost / Lapsed,2026-07-30 19:54:39
12366,268,1,500.24,1,Lost / Lapsed,2026-07-30 19:54:39
12368,263,1,917.7,1,Lost / Lapsed,2026-07-30 19:54:39
12369,48,3,1791.15,2,Occasional / Low-value,2026-07-30 19:54:39
12370,259,3,774.62,1,Lost / Lapsed,2026-07-30 19:54:39
12371,44,3,2179.42,0,Champions,2026-07-30 19:54:39
12373,259,2,763.05,1,Lost / Lapsed,2026-07-30 19:54:39
12374,56,3,2246.29,0,Champions,2026-07-30 19:54:39
12376,24,2,503.15,2,Occasional / Low-value,2026-07-30 19:54:39
12377,16,2,1798.2,2,Occasional / Low-value,2026-07-30 19:54:39
12378,197,1,1407.7,1,Lost / Lapsed,2026-07-30 19:54:39
12379,57,2,767.98,2,Occasional / Low-value,2026-07-30 19:54:39
12380,100,7,6951.49,0,Champions,2026-07-30 19:54:39
12385,14,1,1938.4,2,Occasional / Low-value,2026-07-30 19:54:39
12386,1,1,258.9,2,Occasional / Low-value,2026-07-30 19:54:39
12387,50,1,143.94,2,Occasional / Low-value,2026-07-30 19:54:39
12388,80,2,1120.45,2,Occasional / Low-value,2026-07-30 19:54:39
12389,37,3,1433.33,2,Occasional / Low-value,2026-07-30 19:54:39
12391,99,5,2312.53,0,Champions,2026-07-30 19:54:39
12392,226,1,234.75,1,Lost / Lapsed,2026-07-30 19:54:39
