invoice_date,order_count,revenue
2009-12-01,155,51275.09
2009-12-02,127,61551.68
2009-12-03,137,69223.81
2009-12-04,100,39150.26
2009-12-05,30,9803.05
2009-12-06,90,24179.2
2009-12-07,114,42688.01
2009-12-08,160,43012.62
2009-12-09,97,39001.2
2009-12-10,118,41311.09
2009-12-11,117,38439.92
2009-12-13,77,21791.99
2009-12-14,112,69619.31
2009-12-15,106,49208.27
2009-12-16,103,50204.57
2009-12-17,156,29213.19
2009-12-18,76,41006.72
2009-12-20,40,11208.38
2009-12-21,49,14871.46
2009-12-22,66,24444.24
2009-12-23,26,10558.0
2010-01-04,41,13250.6
2010-01-05,40,19102.34
2010-01-06,14,8742.43
2010-01-07,83,72295.98
2010-01-08,43,28259.11
2010-01-10,37,23407.92
2010-01-11,60,33746.02
2010-01-12,42,40141.27
2010-01-13,44,19630.33
2010-01-14,81,30021.14
2010-01-15,49,13130.54
2010-01-17,41,17565.94
2010-01-18,46,20202.85
2010-01-19,50,31329.15
2010-01-20,68,15307.77
2010-01-21,63,26967.89
2010-01-22,48,33936.6
2010-01-24,52,15989.85
2010-01-25,63,22233.1
2010-01-26,132,44926.25
2010-01-27,72,27756.09
2010-01-28,71,19218.16
2010-01-29,67,18521.75
2010-01-31,57,18140.13
2010-02-01,70,18098.39
2010-02-02,56,20957.99
2010-02-03,56,20568.01
2010-02-04,64,22436.88
2010-02-05,64,20244.48
2010-02-07,35,16664.77
2010-02-08,63,15338.54
2010-02-09,56,18644.71
2010-02-10,37,8387.99
2010-02-11,63,14744.64
2010-02-12,38,10946.27
2010-02-14,50,17651.5
2010-02-15,48,41019.23
2010-02-16,71,30175.93
2010-02-17,56,22587.46
2010-02-18,88,34241.42
2010-02-19,62,25714.52
2010-02-21,60,9319.73
2010-02-22,54,26219.15
2010-02-23,56,22188.48
2010-02-24,73,32475.54
2010-02-25,88,44978.08
2010-02-26,47,15370.43
2010-02-28,58,16693.47
2010-03-01,62,25003.67
2010-03-02,88,24783.76
2010-03-03,77,33269.93
2010-03-04,88,31100.35
2010-03-05,81,26924.59
2010-03-07,62,19370.92
2010-03-08,81,35451.13
2010-03-09,72,20815.96
2010-03-10,79,26241.03
2010-03-11,53,23976.16
2010-03-12,42,21066.15
2010-03-14,25,8996.05
2010-03-15,68,26333.49
2010-03-16,90,22685.44
2010-03-17,53,30386.48
2010-03-18,92,39820.24
2010-03-19,66,23282.98
2010-03-21,62,20536.64
2010-03-22,86,24067.71
2010-03-23,75,32213.96
2010-03-24,105,26196.71
2010-03-25,85,31970.42
2010-03-26,75,31811.95
2010-03-28,59,22494.37
2010-03-29,93,58900.51
2010-03-30,104,36892.68
2010-03-31,86,28797.99
2010-04-01,81,29955.01
2010-04-06,60,19001.07
2010-04-07,66,34441.66
2010-04-08,91,47070.07
2010-04-09,53,16197.26
2010-04-11,44,19746.47
2010-04-12,81,25662.08
2010-04-13,83,24827.0
2010-04-14,61,26394.63
2010-04-15,68,19230.69
2010-04-16,47,17905.54
2010-04-18,56,23985.73
2010-04-19,81,43215.6
2010-04-20,73,24284.93
2010-04-21,70,27227.75
2010-04-22,126,35340.14
2010-04-23,59,16322.1
2010-04-25,50,16332.87
2010-04-26,101,34894.21
2010-04-27,99,45680.41
2010-04-28,78,32017.84
2010-04-29,97,32031.13
2010-04-30,82,26959.81
2010-05-02,43,11982.88
2010-05-04,79,20980.67
2010-05-05,110,25984.25
2010-05-06,110,51943.49
2010-05-07,73,34663.85
2010-05-09,64,23055.9
2010-05-10,106,29134.73
2010-05-11,70,28253.99
2010-05-12,70,30922.89
2010-05-13,85,27726.47
2010-05-14,99,11802.78
2010-05-16,47,18119.15
2010-05-17,70,23858.71
2010-05-18,82,26914.74
2010-05-19,69,16987.66
2010-05-20,84,25357.05
2010-05-21,70,26288.23
2010-05-23,53,24829.43
2010-05-24,79,34497.14
2010-05-25,80,21261.16
2010-05-26,110,34600.38
2010-05-27,96,30659.65
2010-05-28,95,16952.85
2010-05-30,35,10706.31
2010-06-01,52,15555.84
