stock_code,description,units_sold,revenue
22423,REGENCY CAKESTAND 3 TIER,13087.0,163051.46
85123A,WHITE HANGING HEART T-LIGHT HOLDER,57732.0,157865.43
84879,ASSORTED COLOUR BIRD ORNAMENT,44917.0,72454.12
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,17083.0,57870.2
85099B,JUMBO BAG RED RETROSPOT,30725.0,56444.61
47566,PARTY BUNTING,10075.0,49645.52
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,13675.0,47672.49
85099F,JUMBO BAG STRAWBERRY,19985.0,36699.61
15056N,EDWARDIAN PARASOL NATURAL,7371.0,36422.16
21621,VINTAGE UNION JACK BUNTING,4120.0,35819.71
21232,STRAWBERRY CERAMIC TRINKET BOX,26562.0,33834.7
15056BL,EDWARDIAN PARASOL BLACK,6758.0,32350.84
85099C,JUMBO  BAG BAROQUE BLACK WHITE,17312.0,32225.29
21931,JUMBO STORAGE BAG SUKI,15793.0,31406.86
79321,CHILLI LIGHTS,6469.0,31086.1
22189,CREAM HEART CARD HOLDER,10037.0,30998.13
21754,HOME BUILDING BLOCK WORD,5048.0,30916.72
22114,HOT WATER BOTTLE TEA AND SYMPATHY,6577.0,30030.06
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,15043.0,29471.45
20725,LUNCH BAG RED SPOTTY,17608.0,29373.62
